Category,Name,Pass,Detail,Severity
Architecture,"Total cell count",1,"26 series x 21 parallel = 546 cells",ERROR
Architecture,"Cell table height",1,"546 rows in the cell table",ERROR
Architecture,"Group table height",1,"26 rows in the group table",ERROR
Architecture,"Cells per group",1,"min 21, max 21",ERROR
Architecture,"Cells per layer",1,"layer 1: 273, layer 2: 273",ERROR
Architecture,"Group array shape",1,"3 rows x 7 columns",ERROR
Geometry,"Cell coordinates finite",1,"All 546 cell positions are finite",ERROR
Geometry,"Series path adjacency",1,"longest step 174.9 mm",ERROR
Geometry,"Grid capacity",1,"16 slots for 13 groups, 3 spare",ERROR
Geometry,"Packaging efficiency",1,"32.8% of external volume is cell",WARNING
Electrical,"Pack nominal voltage",1,"93.60 V",ERROR
Electrical,"Pack maximum voltage",1,"109.20 V",ERROR
Electrical,"Pack capacity",1,"105.0 Ah",ERROR
Drivetrain,"Series count matches outboard",1,"Pack is 26S, Competr datasheet specifies 26S",ERROR
Drivetrain,"Maximum voltage within outboard limit",1,"Pack max 109.2 V vs outboard limit 109 V",ERROR
Drivetrain,"Minimum voltage above inverter floor",1,"Pack min 65.0 V at the cell cut-off",WARNING
Drivetrain,"Pack can supply outboard continuous current",1,"Cells allow 1260 A, outboard draws up to 375 A",ERROR
Drivetrain,"Cell current at outboard continuous rating",1,"17.86 A/cell (3.57 C), datasheet limit 60 A",ERROR
Drivetrain,"Cell current at 42 kW peak",1,"21.37 A/cell at 449 A pack current",ERROR
Drivetrain,"Energy vs Competr stock pack",1,"This pack 9.83 kWh vs stock 26 kWh (38% of it)",INFO
Interconnect,"Current density: Monaco cap, nominal V",1,"links 3.0, rails 3.2 A/mm2 (continuous limit 5.0)",WARNING
Interconnect,"Current density: Monaco cap, minimum V",1,"links 4.3, rails 4.6 A/mm2 (continuous limit 5.0)",WARNING
Interconnect,"Current density: Competr hardware continuous",1,"links 4.2, rails 4.5 A/mm2 (continuous limit 5.0)",WARNING
Interconnect,"Current density: FAULT: cap failure, 42 kW",1,"links 7.2, rails 7.7 A/mm2 (peak limit 8.0)",WARNING
Interconnect,"Voltage drop at continuous current",1,"0.58 V (0.62% of nominal) at 375 A",WARNING
Harness,"Cable ampacity vs continuous current",1,"150 mm2 gives 459 A derated, need 375 A",ERROR
Harness,"Fuse clears worst legal operating current",1,"400 A fuse vs 385 A worst legal draw (25 kW at the 65 V minimum bus)",ERROR
Harness,"Fuse below protected conductor ratings",1,"400 A fuse, cable 459 A, busbar 450 A (Monaco ENERGY_REQ_59)",ERROR
Auxiliary,"DC/DC headroom at simultaneous peak",0,"Peak 12 V load 1118 W vs 1000 W converter",WARNING
Thermal,"Steady temperature at Monaco power cap",1,"35.1 degC steady, design limit 45 degC",ERROR
Thermal,"Steady temperature at outboard continuous",1,"44.9 degC steady at 375 A",WARNING
Inverter,"Device rating requirement identified",1,"Needs >= 418 A device rating for 42 kW peak",INFO
Inverter,"Selection status",0,"Inverter not yet selected -- Competr lists it as 'on request'",INFO
