# MEBC contra-rotating propulsor - FRONT rotor blade geometry
# generated,2026-08-24 02:29:09
# architecture,submerged
# D_m,0.378488
# D_in,14.9011
# Z,4
# P07_m,0.715778
# P_over_D_at_0.7R,1.891154
# EAR,0.608959
# hub_diameter_m,0.107972
# rpm,837.417
# thrust_N,437.1014
# torque_Nm,66.0420
# power_W,5791.497
# axial_gap_m,0.050000
# shaft_angle_deg,-2.9511
# NOTE,pitch is nose-tail (chord line) pitch; sections not yet specified
rR,r_m,chord_m,pitch_m,pitch_over_D,pitch_angle_deg,camber_ratio,camber_m,thickness_ratio,thickness_m,skew_deg,rake_deg,x_ref_m,y_ref_m,z_ref_m,x_LE_m,y_LE_m,z_LE_m,x_TE_m,y_TE_m,z_TE_m,solidity,alpha_deg,Re,Cl,Cd,dT_dr_Npm,dQ_dr_Nmpm
0.295199,0.055865,0.088008,0.757013,2.000099,65.1240,0.027369,0.002409,0.127136,0.011189,0.0029,0.0694,0.000074,0.000003,0.055865,-0.039848,0.018513,0.055864,0.039995,-0.018508,0.055866,1.002917,-2.6107,9.3154e+05,0.05735,0.012542,222.9795,71.1563
0.315053,0.059622,0.100740,0.754990,1.994756,63.6101,0.027124,0.002732,0.124021,0.012494,0.0260,0.2083,0.000271,0.000027,0.059622,-0.044850,0.022415,0.059612,0.045392,-0.022361,0.059632,1.075665,-2.3574,1.0867e+06,0.08207,0.011965,589.1379,124.6437
0.334906,0.063379,0.111304,0.752968,1.989412,62.1270,0.026879,0.002992,0.120905,0.013457,0.0723,0.3472,0.000535,0.000080,0.063379,-0.048660,0.026098,0.063346,0.049731,-0.025938,0.063412,1.118015,-2.2231,1.2188e+06,0.09373,0.011569,898.6994,169.1158
0.354760,0.067136,0.120220,0.750946,1.984069,60.6758,0.026634,0.003202,0.117790,0.014161,0.1418,0.4861,0.000865,0.000166,0.067136,-0.051542,0.029605,0.067063,0.053273,-0.029273,0.067209,1.139993,-2.1306,1.3359e+06,0.10080,0.011260,1195.4956,211.0656
0.374613,0.070893,0.127804,0.748923,1.978726,59.2572,0.026389,0.003373,0.114674,0.014656,0.2344,0.6250,0.001261,0.000290,0.070893,-0.053661,0.032956,0.070759,0.056183,-0.032376,0.071026,1.147679,-2.0596,1.4412e+06,0.10552,0.011005,1488.2299,251.8589
0.394467,0.074650,0.134267,0.746901,1.973383,57.8718,0.026143,0.003510,0.111559,0.014979,0.3501,0.7639,0.001722,0.000456,0.074649,-0.055131,0.036158,0.074431,0.058574,-0.035246,0.074867,1.145030,-2.0020,1.5368e+06,0.10876,0.010788,1778.2462,291.8080
0.414320,0.078408,0.139757,0.744879,1.968039,56.5201,0.025898,0.003619,0.108443,0.015156,0.4890,0.9028,0.002247,0.000669,0.078405,-0.056037,0.039216,0.078076,0.060532,-0.037878,0.078734,1.134739,-1.9539,1.6238e+06,0.11096,0.010600,2064.6169,330.8899
0.434174,0.082165,0.144385,0.742856,1.962696,55.2022,0.025653,0.003704,0.105328,0.015208,0.6510,1.0417,0.002837,0.000934,0.082159,-0.056445,0.042130,0.081691,0.062120,-0.040263,0.082628,1.118710,-1.9129,1.7033e+06,0.11238,0.010434,2345.5779,368.9513
0.454027,0.085922,0.148235,0.740834,1.957353,53.9183,0.025408,0.003766,0.102212,0.015151,0.8362,1.1806,0.003491,0.001254,0.085913,-0.056409,0.044900,0.085276,0.063392,-0.042392,0.086550,1.098317,-1.8776,1.7757e+06,0.11318,0.010286,2619.0755,405.7874
0.473881,0.089679,0.151373,0.738812,1.952010,52.6683,0.025163,0.003809,0.099097,0.015001,1.0446,1.3194,0.004209,0.001635,0.089664,-0.055972,0.047526,0.088827,0.064390,-0.044256,0.090501,1.074576,-1.8469,1.8416e+06,0.11347,0.010153,2883.0155,441.1781
