x_mm,area_mm2,width_mm,height_mm,z_top_mm,z_bot_mm
-878.67,74701.5,508.59,150.68,729.50,579.50
-870.21,75697.3,509.85,152.95,729.50,579.50
-861.76,76696.8,511.10,155.21,729.50,579.50
-853.31,77697.0,512.36,157.47,729.50,579.50
-844.86,78700.8,513.61,159.73,729.50,579.50
-836.40,79718.7,514.87,162.01,729.50,579.50
-827.95,80736.4,516.12,164.28,729.50,579.50
-819.50,81756.7,517.37,166.54,729.50,579.50
-811.04,82771.2,518.63,168.78,729.50,579.50
-802.59,83812.1,519.88,171.08,729.50,579.50
-794.14,84846.9,521.13,173.36,729.50,579.50
-785.68,85888.5,522.38,175.63,729.50,579.50
-777.23,86919.8,523.62,177.87,729.50,579.50
-768.78,87967.6,524.87,180.16,729.50,579.50
-760.32,89028.2,526.12,182.47,729.50,579.50
-751.87,90084.2,527.36,184.75,729.50,579.50
-743.42,91152.5,528.60,187.02,729.50,579.50
-734.97,92205.5,529.84,189.29,729.50,579.50
-726.51,93297.5,531.08,191.63,729.50,579.50
-718.06,94377.7,532.32,193.93,729.50,579.50
-709.61,95464.1,533.55,196.21,729.50,579.50
-701.15,96550.7,534.79,198.50,729.50,579.50
-692.70,97655.7,536.02,200.86,729.50,579.50
-684.25,98774.3,537.25,203.21,729.50,579.50
-675.79,99879.7,538.47,205.50,729.50,579.50
-667.34,100989.9,539.70,207.80,729.50,579.50
-658.89,102266.1,540.93,210.47,729.50,579.50
-650.43,103593.1,542.15,213.21,729.50,579.50
-641.98,104939.7,543.38,215.96,729.50,579.50
-633.53,106293.6,544.60,218.71,729.50,579.50
-625.08,107688.6,545.83,221.60,729.50,579.50
-616.62,109103.4,547.06,224.49,729.50,579.50
-608.17,110536.0,548.29,227.38,729.50,579.50
-599.72,111977.6,549.52,230.27,729.50,579.50
-591.26,113453.8,550.76,233.29,729.50,579.50
-582.81,114952.2,551.99,236.32,729.50,579.50
-574.36,116467.7,553.23,239.34,729.50,579.50
-565.90,117996.9,554.48,242.37,729.50,579.50
-557.45,119552.3,555.73,245.50,729.50,579.50
-549.00,121138.6,556.99,248.64,729.50,579.50
-540.55,122732.6,558.25,251.79,729.50,579.50
-532.09,124333.8,559.52,254.94,729.50,579.50
-523.64,125956.1,560.79,258.16,729.50,579.50
-515.19,127611.2,562.08,261.41,729.50,579.50
-506.73,129277.4,563.36,264.65,729.50,579.50
-498.28,130951.1,564.66,267.90,729.50,579.50
-489.83,132631.7,565.97,271.17,729.50,579.50
-481.37,134333.3,567.28,274.46,729.50,579.50
-472.92,136041.8,568.60,277.75,729.50,579.50
-464.47,137757.3,569.93,281.03,729.50,579.50
-456.01,139475.9,571.26,284.31,729.50,579.50
-447.56,141195.8,572.60,287.58,729.50,579.50
-439.11,142922.0,573.95,290.85,729.50,579.50
-430.66,144651.0,575.30,294.13,729.50,579.50
-422.20,146382.6,576.66,297.37,729.50,579.50
-413.75,148094.6,578.02,300.57,729.50,579.50
-405.30,149809.6,579.40,303.77,729.50,579.50
-396.84,151520.6,580.77,306.97,729.50,579.50
-388.39,153237.6,582.14,310.15,729.50,579.50
-379.94,154935.6,583.52,313.26,729.50,579.50
-371.48,156625.1,584.90,316.37,729.50,579.50
-363.03,158296.8,586.29,319.41,729.50,579.50
-354.58,159960.4,587.68,322.45,729.50,579.50
-346.12,161612.2,589.07,325.43,729.50,579.50
-337.67,163250.7,590.46,328.40,729.50,579.50
-329.22,164883.1,591.85,331.31,729.50,579.50
-320.77,166500.5,593.24,334.21,729.50,579.50
-312.31,168111.0,594.63,337.07,729.50,579.50
-303.86,169706.3,596.03,339.87,729.50,579.50
-295.41,171300.9,597.42,342.67,729.50,579.50
-286.95,172882.3,598.82,345.47,729.50,579.50
-278.50,174458.6,600.21,348.27,729.50,579.50
-270.05,176019.7,601.61,350.95,729.50,579.50
-261.59,177576.2,603.01,353.64,729.50,579.50
-253.14,179130.3,604.40,356.32,729.50,579.50
-244.69,180675.3,605.80,359.00,729.50,579.50
-236.24,182210.3,607.20,361.63,729.50,579.50
-227.78,183729.5,608.60,364.20,729.50,579.50
-219.33,185245.4,610.00,366.77,729.50,579.50
-210.88,186759.9,611.40,369.34,729.50,579.50
-202.42,188277.7,612.80,371.91,729.50,579.50
-193.97,189782.1,614.20,374.38,729.50,579.50
-185.52,191269.8,615.60,376.85,729.50,579.50
-177.06,192756.5,617.00,379.31,729.50,579.50
-168.61,194243.6,618.40,381.78,729.50,579.50
-160.16,195732.8,619.80,384.21,729.50,579.50
-151.70,197195.4,621.20,386.57,729.50,579.50
-143.25,198651.4,622.60,388.93,729.50,579.50
-134.80,200107.1,624.00,391.29,729.50,579.50
-126.35,201567.2,625.41,393.65,729.50,579.50
-117.89,203020.7,626.81,395.94,729.50,579.50
-109.44,204450.0,628.21,398.19,729.50,579.50
-100.99,205875.2,629.61,400.45,729.50,579.50
-92.53,207304.7,631.01,402.71,729.50,579.50
-84.08,208738.7,632.42,404.95,729.50,579.50
-75.63,210153.4,633.82,407.11,729.50,579.50
-67.17,211553.1,635.22,409.26,729.50,579.50
-58.72,212950.6,636.63,411.42,729.50,579.50
-50.27,214353.7,638.03,413.57,729.50,579.50
-41.81,215757.1,639.44,415.68,729.50,579.50
-33.36,217132.4,640.84,417.73,729.50,579.50
-24.91,218504.3,642.25,419.78,729.50,579.50
-16.46,219875.5,643.66,421.84,729.50,579.50
-8.00,221253.5,645.06,423.89,729.50,579.50
0.45,222623.4,646.47,425.85,729.50,579.50
8.90,223977.9,647.88,427.80,729.50,579.50
17.36,225325.6,649.29,429.75,729.50,579.50
25.81,226663.4,650.70,431.69,729.50,579.50
34.26,228003.2,652.11,433.63,729.50,579.50
42.72,229323.3,653.52,435.46,729.50,579.50
51.17,230640.1,654.93,437.29,729.50,579.50
59.62,231960.3,656.34,439.12,729.50,579.50
68.08,233260.8,657.75,440.96,729.50,579.50
76.53,234561.2,659.16,442.74,729.50,579.50
84.98,235853.4,660.58,444.45,729.50,579.50
93.43,237138.6,661.99,446.16,729.50,579.50
101.89,238417.8,663.41,447.87,729.50,579.50
110.34,239676.2,664.82,449.58,729.50,579.50
118.79,240938.9,666.24,451.21,729.50,579.50
127.25,242190.5,667.66,452.79,729.50,579.50
135.70,243436.4,669.08,454.37,729.50,579.50
144.15,244668.6,670.50,455.95,729.50,579.50
152.61,245891.0,671.92,457.53,729.50,579.50
161.06,247103.9,673.34,459.01,729.50,579.50
169.51,248313.5,674.76,460.46,729.50,579.50
177.96,249523.4,676.19,461.92,729.50,579.50
186.42,250711.5,677.61,463.37,729.50,579.50
194.87,251921.9,679.04,464.83,729.50,579.50
203.32,253104.3,680.47,466.19,729.50,579.50
211.78,254283.1,681.89,467.55,729.50,579.50
220.23,255476.9,683.32,468.92,729.50,579.50
228.68,256656.6,684.75,470.28,729.50,579.50
237.14,257845.8,686.18,471.63,729.50,579.50
245.59,259006.1,687.61,472.93,729.50,579.50
254.04,260182.4,689.04,474.23,729.50,579.50
262.50,261363.9,690.47,475.53,729.50,579.50
270.95,262548.4,691.90,476.83,729.50,579.50
279.40,263733.6,693.33,478.12,729.50,579.50
287.85,264917.8,694.76,479.39,729.50,579.50
