LinkID,FromGroup,ToGroup,LinkLength,LinkArea,LinkResistance,LinkPowerLoss,LinkSurface,IsInterLayer
1,1,2,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,BOTTOM,0
2,2,3,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,TOP,0
3,3,4,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,BOTTOM,0
4,4,5,0.0927475,9e-05,2.05591610742222e-05,1.46667439086457,TOP,0
5,5,6,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,BOTTOM,0
6,6,7,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,TOP,0
7,7,8,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,BOTTOM,0
8,8,9,0.0927475,9e-05,2.05591610742222e-05,1.46667439086457,TOP,0
9,9,10,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,BOTTOM,0
10,10,11,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,TOP,0
11,11,12,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,BOTTOM,0
12,12,13,0.0927475,9e-05,2.05591610742222e-05,1.46667439086457,TOP,0
13,13,14,0.0921725,9e-05,2.04317019231111e-05,1.45758155521135,BOTTOM,1
14,14,15,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,TOP,0
15,15,16,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,BOTTOM,0
16,16,17,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,TOP,0
17,17,18,0.0927475,9e-05,2.05591610742222e-05,1.46667439086457,BOTTOM,0
18,18,19,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,TOP,0
19,19,20,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,BOTTOM,0
20,20,21,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,TOP,0
21,21,22,0.0927475,9e-05,2.05591610742222e-05,1.46667439086457,BOTTOM,0
22,22,23,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,TOP,0
23,23,24,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,BOTTOM,0
24,24,25,0.2010775,9e-05,4.45724651435556e-05,3.17976462793144,TOP,0
25,25,26,0.0927475,9e-05,2.05591610742222e-05,1.46667439086457,BOTTOM,0
