GroupID,Layer,GridRow,GridColumn,X,Y,Z,PositiveTerminal,NegativeTerminal
1,1,1,1,-0.262275,-0.120975,0,BOTTOM,TOP
2,1,1,2,-0.087425,-0.120975,0,TOP,BOTTOM
3,1,1,3,0.087425,-0.120975,0,BOTTOM,TOP
4,1,1,4,0.262275,-0.120975,0,TOP,BOTTOM
5,1,2,4,0.262275,-0.040325,0,BOTTOM,TOP
6,1,2,3,0.087425,-0.040325,0,TOP,BOTTOM
7,1,2,2,-0.087425,-0.040325,0,BOTTOM,TOP
8,1,2,1,-0.262275,-0.040325,0,TOP,BOTTOM
9,1,3,1,-0.262275,0.040325,0,BOTTOM,TOP
10,1,3,2,-0.087425,0.040325,0,TOP,BOTTOM
11,1,3,3,0.087425,0.040325,0,BOTTOM,TOP
12,1,3,4,0.262275,0.040325,0,TOP,BOTTOM
13,1,4,4,0.262275,0.120975,0,BOTTOM,TOP
14,2,4,4,0.262275,0.120975,0.08015,TOP,BOTTOM
15,2,4,3,0.087425,0.120975,0.08015,BOTTOM,TOP
16,2,4,2,-0.087425,0.120975,0.08015,TOP,BOTTOM
17,2,4,1,-0.262275,0.120975,0.08015,BOTTOM,TOP
18,2,3,1,-0.262275,0.040325,0.08015,TOP,BOTTOM
19,2,3,2,-0.087425,0.040325,0.08015,BOTTOM,TOP
20,2,3,3,0.087425,0.040325,0.08015,TOP,BOTTOM
21,2,3,4,0.262275,0.040325,0.08015,BOTTOM,TOP
22,2,2,4,0.262275,-0.040325,0.08015,TOP,BOTTOM
23,2,2,3,0.087425,-0.040325,0.08015,BOTTOM,TOP
24,2,2,2,-0.087425,-0.040325,0.08015,TOP,BOTTOM
25,2,2,1,-0.262275,-0.040325,0.08015,BOTTOM,TOP
26,2,1,1,-0.262275,-0.120975,0.08015,TOP,BOTTOM
