# MEBC contra-rotating propulsor - REAR rotor blade geometry
# generated,2026-08-24 02:29:09
# architecture,submerged
# D_m,0.361845
# D_in,14.2459
# Z,4
# P07_m,0.725510
# P_over_D_at_0.7R,2.005033
# EAR,0.665988
# hub_diameter_m,0.107972
# rpm,774.813
# thrust_N,347.5357
# torque_Nm,55.3370
# power_W,4489.947
# axial_gap_m,0.050000
# shaft_angle_deg,-2.9511
# NOTE,pitch is nose-tail (chord line) pitch; sections not yet specified
rR,r_m,chord_m,pitch_m,pitch_over_D,pitch_angle_deg,camber_ratio,camber_m,thickness_ratio,thickness_m,skew_deg,rake_deg,x_ref_m,y_ref_m,z_ref_m,x_LE_m,y_LE_m,z_LE_m,x_TE_m,y_TE_m,z_TE_m,solidity,alpha_deg,Re,Cl,Cd,dT_dr_Npm,dQ_dr_Nmpm
0.308138,0.055749,0.094227,0.739906,2.044815,64.6665,0.027369,0.002579,0.127136,0.011980,0.0029,0.0694,0.000074,0.000003,0.055749,-0.042509,0.020162,0.055748,0.042656,-0.020156,0.055750,1.076009,-2.1199,1.0192e+06,0.11120,0.012090,805.8528,146.8672
0.327627,0.059275,0.107636,0.739190,2.042837,63.2590,0.027124,0.002920,0.124021,0.013349,0.0260,0.2083,0.000269,0.000027,0.059275,-0.047793,0.024243,0.059264,0.048331,-0.024189,0.059286,1.156023,-1.7851,1.1879e+06,0.14486,0.011537,1483.7103,236.4533
0.347116,0.062801,0.118777,0.738474,2.040858,61.8830,0.026879,0.003193,0.120905,0.014361,0.0723,0.3472,0.000529,0.000079,0.062801,-0.051851,0.028068,0.062766,0.052909,-0.027909,0.062836,1.204058,-1.6659,1.3308e+06,0.15487,0.011175,1964.5252,300.4561
0.366605,0.066327,0.128188,0.737758,2.038880,60.5387,0.026634,0.003414,0.117790,0.015099,0.1418,0.4861,0.000853,0.000164,0.066327,-0.054952,0.031688,0.066249,0.056659,-0.031359,0.066405,1.230371,-1.6082,1.4566e+06,0.15812,0.010895,2375.5310,355.3646
0.386094,0.069853,0.136196,0.737042,2.036901,59.2267,0.026389,0.003594,0.114674,0.015618,0.2344,0.6250,0.001242,0.000286,0.069852,-0.057268,0.035127,0.069710,0.059752,-0.034556,0.069995,1.241252,-1.5814,1.5692e+06,0.15798,0.010666,2735.9830,403.7759
0.405583,0.073379,0.143023,0.736326,2.034923,57.9470,0.026143,0.003739,0.111559,0.015955,0.3501,0.7639,0.001694,0.000448,0.073378,-0.058916,0.038399,0.073146,0.062305,-0.037502,0.073610,1.240836,-1.5728,1.6706e+06,0.15585,0.010474,3052.5779,446.6206
0.425072,0.076905,0.148824,0.735610,2.032944,56.6998,0.025898,0.003854,0.108443,0.016139,0.4890,0.9028,0.002211,0.000656,0.076902,-0.059983,0.041509,0.076554,0.064405,-0.040196,0.077251,1.231965,-1.5759,1.7623e+06,0.15243,0.010309,3327.6523,484.2487
0.444561,0.080431,0.153715,0.734894,2.030965,55.4849,0.025653,0.003943,0.105328,0.016190,0.6510,1.0417,0.002791,0.000914,0.080426,-0.060537,0.044460,0.079931,0.066120,-0.042632,0.080921,1.216666,-1.5870,1.8451e+06,0.14814,0.010165,3562.1949,516.8194
0.464050,0.083957,0.157783,0.734178,2.028987,54.3022,0.025408,0.004009,0.102212,0.016127,0.8362,1.1806,0.003436,0.001225,0.083948,-0.060633,0.047254,0.083276,0.067504,-0.044804,0.084620,1.196419,-1.6035,1.9199e+06,0.14325,0.010039,3756.8873,544.4378
0.483540,0.087483,0.161099,0.733462,2.027008,53.1513,0.025163,0.004054,0.099097,0.015964,1.0446,1.3194,0.004143,0.001595,0.087469,-0.060314,0.049893,0.086588,0.068600,-0.046703,0.088349,1.172324,-1.6238,1.9871e+06,0.13794,0.009927,3912.5107,567.2092
0.503029,0.091009,0.163716,0.732746,2.025030,52.0319,0.024918,0.004079,0.095981,0.015714,1.2760,1.4583,0.004914,0.002027,0.090987,-0.059619,0.052375,0.089865,0.069447,-0.048322,0.092108,1.145215,-1.6467,2.0471e+06,0.13236,0.009828,4030.0699,585.2577
0.522518,0.094535,0.165681,0.732030,2.023051,50.9435,0.024673,0.004088,0.092866,0.015386,1.5307,1.5972,0.005749,0.002525,0.094501,-0.058579,0.054703,0.093107,0.070076,-0.049653,0.095896,1.115732,-1.6710,2.1000e+06,0.12661,0.009740,4110.8797,598.7389
0.542007,0.098061,0.167030,0.731314,2.021073,49.8857,0.024428,0.004080,0.089750,0.014991,1.8084,1.7361,0.006646,0.003095,0.098012,-0.057223,0.056878,0.096314,0.070515,-0.050688,0.099710,1.084368,-1.6961,2.1460e+06,0.12078,0.009662,4156.5437,607.8388
0.561496,0.101587,0.167792,0.730598,2.019094,48.8578,0.024182,0.004058,0.086635,0.014537,2.1094,1.8750,0.007606,0.003739,0.101518,-0.055574,0.058900,0.099487,0.070787,-0.051421,0.103550,1.051509,-1.7213,2.1852e+06,0.11494,0.009593,4169.1345,612.7953
0.580985,0.105113,0.167994,0.729882,2.017115,47.8591,0.023937,0.004021,0.083519,0.014031,2.4334,2.0139,0.008630,0.004463,0.105018,-0.053654,0.060770,0.102625,0.070913,-0.051844,0.107411,1.017456,-1.7462,2.2176e+06,0.10913,0.009531,4150.5022,613.8184
0.600474,0.108639,0.167655,0.729167,2.015137,46.8892,0.023692,0.003972,0.080404,0.013480,2.7807,2.1528,0.009716,0.005270,0.108511,-0.051481,0.062492,0.105732,0.070913,-0.051951,0.111290,0.982449,-1.7703,2.2432e+06,0.10341,0.009477,4102.7204,611.1424
0.619963,0.112165,0.166793,0.728451,2.013158,45.9472,0.023447,0.003911,0.077288,0.012891,3.1510,2.2917,0.010865,0.006166,0.111996,-0.049072,0.064065,0.108808,0.070802,-0.051734,0.115183,0.946673,-1.7935,2.2620e+06,0.09779,0.009430,4028.0745,605.0244
0.639452,0.115691,0.165422,0.727735,2.011180,45.0325,0.023202,0.003838,0.074173,0.012270,3.5446,2.4306,0.012076,0.007153,0.115470,-0.046443,0.065493,0.111856,0.070595,-0.051188,0.119084,0.910275,-1.8155,2.2737e+06,0.09230,0.009389,3928.9125,595.7269
0.658941,0.119217,0.163552,0.727019,2.009201,44.1444,0.022957,0.003755,0.071057,0.011622,3.9612,2.5694,0.013350,0.008236,0.118932,-0.043605,0.066777,0.114879,0.070304,-0.050306,0.122986,0.873369,-1.8360,2.2782e+06,0.08697,0.009355,3807.6001,583.5121
0.678430,0.122743,0.161193,0.726303,2.007223,43.2820,0.022712,0.003661,0.067942,0.010952,4.4010,2.7083,0.014685,0.009419,0.122381,-0.040571,0.067919,0.117879,0.069942,-0.049081,0.126884,0.836043,-1.8550,2.2754e+06,0.08181,0.009326,3666.5022,568.6393
0.697919,0.126269,0.158350,0.725587,2.005244,42.4448,0.022467,0.003558,0.064826,0.010265,4.8640,2.8472,0.016083,0.010706,0.125814,-0.037350,0.068922,0.120861,0.069517,-0.047509,0.130768,0.798364,-1.8724,2.2651e+06,0.07682,0.009304,3508.0780,551.3765
0.717408,0.129795,0.155027,0.724871,2.003265,41.6319,0.022221,0.003445,0.061711,0.009567,5.3501,2.9861,0.017543,0.012102,0.129230,-0.033952,0.069786,0.123828,0.069039,-0.045581,0.134632,0.760377,-1.8881,2.2470e+06,0.07202,0.009288,3334.5993,531.9658
0.736898,0.133321,0.151226,0.724155,2.001287,40.8426,0.021976,0.003323,0.058595,0.008861,5.8594,3.1250,0.019065,0.013610,0.132625,-0.030384,0.070513,0.126785,0.068515,-0.043293,0.138464,0.722115,-1.9021,2.2208e+06,0.06741,0.009278,3148.2908,510.6397
0.756387,0.136847,0.146945,0.723439,1.999308,40.0762,0.021731,0.003193,0.055480,0.008152,6.3918,3.2639,0.020649,0.015235,0.135997,-0.026653,0.071106,0.129738,0.067951,-0.040636,0.142255,0.683595,-1.9145,2.1863e+06,0.06298,0.009274,2950.6921,487.5444
0.775876,0.140373,0.142181,0.722723,1.997330,39.3320,0.021486,0.003055,0.052364,0.007445,6.9473,3.4028,0.022294,0.016979,0.139343,-0.022764,0.071563,0.132691,0.067352,-0.037605,0.145994,0.644820,-1.9251,2.1430e+06,0.05874,0.009279,2744.5890,462.9699
0.795365,0.143899,0.136929,0.722007,1.995351,38.6092,0.021241,0.002908,0.049249,0.006744,7.5260,3.5417,0.024000,0.018847,0.142660,-0.018722,0.071886,0.135652,0.066722,-0.034191,0.149667,0.605781,-1.9341,2.0906e+06,0.05468,0.009291,2532.0572,437.1152
0.814854,0.147425,0.131177,0.721291,1.993373,37.9072,0.020996,0.002754,0.046133,0.006052,8.1279,3.6806,0.025768,0.020843,0.145944,-0.014528,0.072074,0.138628,0.066065,-0.030387,0.153261,0.566458,-1.9414,2.0286e+06,0.05080,0.009312,2315.0111,410.1526
0.834343,0.150951,0.124915,0.720575,1.991394,37.2252,0.020751,0.002592,0.043018,0.005374,8.7529,3.8194,0.027597,0.022971,0.149193,-0.010186,0.072124,0.141625,0.065381,-0.026183,0.156761,0.526814,-1.9471,1.9565e+06,0.04709,0.009343,2095.2439,382.2302
0.853832,0.154477,0.118123,0.719859,1.989415,36.5627,0.020506,0.002422,0.039902,0.004713,9.4010,3.9583,0.029488,0.025233,0.152403,-0.005695,0.072034,0.144654,0.064671,-0.021568,0.160151,0.486800,-1.9513,1.8736e+06,0.04355,0.009387,1874.4003,353.4671
0.873321,0.158003,0.110779,0.719143,1.987437,35.9190,0.020260,0.002244,0.036787,0.004075,10.0723,4.0972,0.031439,0.027633,0.155568,-0.001055,0.071799,0.147723,0.063933,-0.016532,0.163413,0.446346,-1.9541,1.7793e+06,0.04017,0.009446,1654.2037,323.9767
0.892810,0.161529,0.102852,0.718427,1.985458,35.2934,0.020015,0.002059,0.033671,0.003463,10.7668,4.2361,0.033451,0.030176,0.158686,0.003739,0.071411,0.150844,0.063163,-0.011059,0.166527,0.405359,-1.9557,1.6727e+06,0.03692,0.009523,1435.4988,293.7484
0.912299,0.165055,0.094300,0.717712,1.983480,34.6854,0.019770,0.001864,0.030556,0.002881,11.4844,4.3750,0.035524,0.032863,0.161751,0.008692,0.070857,0.154031,0.062355,-0.005132,0.169470,0.363716,-1.9565,1.5527e+06,0.03376,0.009625,1218.9178,262.7188
0.931788,0.168581,0.085068,0.716996,1.981501,34.0942,0.019525,0.001661,0.027440,0.002334,12.2251,4.5139,0.037657,0.035698,0.164758,0.013814,0.070122,0.157300,0.061500,0.001273,0.172217,0.321246,-1.9570,1.4180e+06,0.03063,0.009760,1004.1441,230.6716
0.951277,0.172107,0.075079,0.716280,1.979523,33.5195,0.019280,0.001448,0.024325,0.001826,12.9890,4.6528,0.039851,0.038684,0.167704,0.019121,0.069179,0.160669,0.060581,0.008188,0.174738,0.277713,-1.9587,1.2668e+06,0.02737,0.009942,788.6687,197.0665
0.970766,0.175633,0.064216,0.715564,1.977544,32.9605,0.019035,0.001222,0.021209,0.001362,13.7760,4.7917,0.042105,0.041823,0.170581,0.024636,0.067988,0.164166,0.059574,0.015658,0.176996,0.232765,-1.9656,1.0965e+06,0.02354,0.010197,562.9280,160.4115
0.990255,0.179159,0.052300,0.714848,1.975565,32.4168,0.018790,0.000983,0.018094,0.000946,14.5862,4.9306,0.044419,0.045119,0.173385,0.030401,0.066483,0.167826,0.058438,0.023755,0.178944,0.185842,-2.0012,9.0409e+05,0.01655,0.010587,267.7924,113.1446
